#Spectroscopic redshift catalogue from Noirot et al.
#See Table B1 in Noirot et al. for a description of catalogue entries 
ID RA DEC FLUX_F435W FLUXERR_F435W FLUX_F606W FLUXERR_F606W FLUX_F814W FLUXERR_F814W FLUX_F090W FLUXERR_F090W FLUX_F150W FLUXERR_F150W FLUX_F200W FLUXERR_F200W FLUX_F277W FLUXERR_F277W FLUX_F356W FLUXERR_F356W FLUX_F444W FLUXERR_F444W Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC FLAG_MERGE_GRISM FLAG_MERGE_SPEC MU
794 110.876312 -73.449578 246.95 103.12 273.71 50.1 848.94 64.62 1379.49 16.29 1816.4 15.18 2059.55 9.42 2245.11 5.86 1933.5 5.35 1396.09 7.07 0.8261 0.0016 2 "" "" False False 1.8
797 110.793418 -73.449472 457.87 64.94 385.84 31.48 479.91 39.63 810.47 9.78 954.98 9.29 742.99 5.86 712.32 3.44 678.28 3.12 526.53 4.1 1.0563 0.0004 2 "" "" False False 2.8
799 110.838633 -73.449337 1417.69 55.49 1585.27 26.16 2560.98 73.72 2816.43 11.94 2300.32 9.89 2375.22 6.63 2386.29 3.27 2145.78 2.95 1530.53 3.65 0.7466 0.0002 1 0.7469 muse False False 2.5
801 110.843468 -73.449028 1585.15 135.96 1700.73 67.57 1770.78 80.83 2532.66 24.43 3659.97 22.91 3555.49 14.16 3604.26 7.44 3432.82 6.79 3394.88 8.97 1.5013 0.0004 2 "" "" False False 4.3
821 110.818565 -73.448365 507.52 95.57 2148.81 44.2 4361.28 59.47 5396.49 17.31 10761.25 17.19 12558.0 12.19 11768.91 6.3 7175.99 5.14 5759.36 6.33 "" "" -99 0.3932 muse False False 1.0
826 110.862808 -73.447851 485.16 87.51 1862.17 42.49 4567.63 55.19 6568.43 16.9 12817.07 16.16 15128.91 11.04 13775.97 6.62 8561.06 5.4 6612.69 6.48 0.4018 0.0017 1 "" "" False False 1.0
836 110.763814 -73.447474 -11.51 99.84 201.55 44.55 448.64 59.03 954.02 14.58 10607.3 15.32 16332.25 11.22 23715.13 7.84 30017.94 8.04 35731.21 9.49 1.9774 0.001 1 "" "" False False 2.3
842 110.790535 -73.447056 530.49 64.61 354.3 32.36 446.68 38.52 381.78 9.66 866.25 9.42 844.09 6.0 733.67 3.52 752.83 3.15 772.11 4.09 "" "" -99 2.118 nirspec False False 10.8
846 110.832965 -73.446729 1296.53 97.29 2335.5 48.37 3907.27 93.48 4474.16 15.21 6473.41 14.72 6864.63 9.49 7428.92 5.85 5367.38 5.17 4001.79 6.52 "" "" -99 0.6002 muse False False 1.6
851 110.858924 -73.446535 692.25 77.98 824.16 38.04 1653.46 77.76 1977.74 13.59 2890.43 13.06 2994.78 8.13 3249.07 4.62 3366.62 4.29 2685.18 5.44 1.0776 0.0027 2 "" "" False False 2.1
855 110.75676 -73.446098 1252.24 145.97 3126.35 66.64 5580.77 87.35 8512.48 28.22 13041.41 25.59 14419.08 17.31 15722.55 10.87 16412.86 10.51 13436.79 12.48 1.0762 0.0009 2 "" "" False False 1.7
857 110.796499 -73.446191 375.29 71.16 225.42 33.09 397.65 41.14 669.94 11.04 2025.79 10.44 2453.64 6.76 4002.65 4.15 5125.31 3.99 6393.46 5.06 1.3739 0.0019 2 "" "" False False 2.4
884 110.794308 -73.444321 719.86 104.17 4062.87 49.43 10391.68 65.96 13379.68 22.93 28076.62 22.38 33945.84 18.22 31794.65 8.94 19298.86 6.83 15540.06 7.65 0.3931 0.002 1 "" "" False False 1.0
885 110.830787 -73.444412 707.42 117.69 854.9 52.65 860.6 153.34 1485.28 17.04 2702.43 16.17 2724.28 9.99 3093.69 6.22 3102.06 5.72 3023.08 7.53 1.5001 0.0011 2 "" "" True False 2.3
890 110.823604 -73.444439 103.28 79.51 401.33 23.41 448.76 26.03 507.74 6.39 588.44 6.06 1131.73 3.99 782.6 2.39 517.67 2.12 616.86 2.82 3.3736 0.0003 2 "" "" True False 2.9
894 110.859768 -73.444204 289.63 57.51 571.12 27.52 577.91 36.25 617.0 8.87 888.87 8.49 1168.48 5.32 1077.57 3.28 969.89 2.99 986.84 3.96 2.7335 0.0006 2 2.743 nirspec False False 2.3
898 110.869181 -73.444002 77.14 28.36 138.12 13.93 194.73 17.62 244.19 5.59 361.21 5.28 380.85 3.32 402.97 1.67 408.79 1.53 372.32 1.98 1.2618 0.001 2 "" "" False False 1.8
903 110.796481 -73.443612 311.43 57.45 366.94 26.1 467.38 34.3 440.53 10.1 920.25 9.62 950.04 6.06 947.0 3.09 931.25 2.75 978.08 3.65 1.8206 0.0009 2 "" "" False False 2.2
908 110.846893 -73.44298 1268.86 87.84 958.53 39.91 1481.54 52.17 2027.61 13.26 4010.1 13.09 4365.9 8.34 6296.87 5.31 7587.45 4.99 8973.65 6.32 1.3618 0.0013 2 "" "" True False 1.9
919 110.828721 -73.442595 730.37 53.85 1150.63 25.19 1412.22 36.83 1348.35 8.52 1752.37 8.05 2526.4 5.36 2233.3 3.23 1588.38 2.86 1767.89 3.67 3.0997 0.0003 1 "" "" False False 2.4
920 110.820668 -73.442437 46.78 82.26 241.57 42.19 939.33 49.02 1576.31 11.72 4589.15 11.73 5693.98 7.8 7349.27 5.11 8113.71 4.82 8159.2 5.8 1.2602 0.0004 2 "" "" False False 1.9
928 110.800227 -73.442111 214.43 35.36 151.15 15.51 236.11 21.36 281.18 6.2 378.88 5.73 365.15 3.61 369.48 1.9 358.52 1.71 315.66 2.25 1.1596 0.001 2 "" "" False False 1.8
931 110.824186 -73.441884 234.04 80.0 356.15 39.01 407.47 49.35 968.64 11.74 2824.06 11.5 4062.08 7.52 5735.51 4.83 6922.99 4.74 8334.88 5.78 1.6707 0.0006 2 "" "" False False 2.0
934 110.862061 -73.441362 137.65 81.75 421.98 37.21 1441.76 50.62 2319.1 13.15 5174.28 12.96 6515.57 8.59 8328.19 5.66 9435.59 5.35 8188.41 6.22 1.0122 0.0004 2 "" "" True False 1.6
935 110.820967 -73.441445 2337.01 146.35 2938.14 63.34 3778.99 72.1 4612.17 17.98 6987.98 17.28 6349.46 10.71 7060.81 6.63 7105.39 6.1 7175.6 7.88 1.2717 0.0004 1 "" "" True False 1.8
940 110.806932 -73.441055 162.81 71.87 1596.66 33.71 3912.99 44.22 5116.95 11.61 9595.31 11.97 11209.97 8.55 10221.9 5.43 6329.61 4.29 5067.84 4.96 0.3883 0.0029 1 "" "" False False 1.0
949 110.851943 -73.440395 1291.79 71.45 1429.67 34.1 1545.98 44.52 1838.04 11.28 2942.5 10.77 2976.45 6.81 3010.51 4.22 2936.89 3.86 3092.6 5.0 1.6708 0.0003 2 "" "" True False 1.8
956 110.854935 -73.439951 1153.54 61.59 1273.48 29.68 1778.2 39.56 1760.35 9.91 2367.32 9.42 2159.49 5.9 2310.72 3.63 2441.54 3.37 2060.08 4.25 1.0845 0.0003 1 "" "" False False 1.6
